feature,value,model name,source
South_Korea_manufacturing_operation_ratio_SA,0.0025862917491676824,Nero_RandomForestRegressor_v1,mst_v2_20210517.csv
India_all_coal_stocks,0.002666273987590131,Nero_RandomForestRegressor_v1,mst_v2_20210517.csv
China_monthly_coal_inventory,0.0027657881650702447,Nero_RandomForestRegressor_v1,mst_v2_20210517.csv
Japan_import_asia_coal,0.0028968178888237597,Nero_RandomForestRegressor_v1,mst_v2_20210517.csv
Indonesia_coal_ref_price,0.0034875248923686964,Nero_RandomForestRegressor_v1,mst_v2_20210517.csv
China_monthly_industrial_output_YoY_electricity,0.003994936444532387,Nero_RandomForestRegressor_v1,mst_v2_20210517.csv
USD_Tin_High,0.004636685382713829,Nero_RandomForestRegressor_v1,mst_v2_20210517.csv
USD_Tin_Open,0.006523281934303231,Nero_RandomForestRegressor_v1,mst_v2_20210517.csv
China_PPI_manufacture_YoY,0.00922694288505132,Nero_RandomForestRegressor_v1,mst_v2_20210517.csv
keqiang_index,0.01798397944254318,Nero_RandomForestRegressor_v1,mst_v2_20210517.csv
API2,0.033457147305948294,Nero_RandomForestRegressor_v1,mst_v2_20210517.csv
API4,0.04478444239381398,Nero_RandomForestRegressor_v1,mst_v2_20210517.csv
China_PPI_raw_material_YoY,0.04983448987931403,Nero_RandomForestRegressor_v1,mst_v2_20210517.csv
RB,0.0518764065710209,Nero_RandomForestRegressor_v1,mst_v2_20210517.csv
NEWC,0.1,Nero_RandomForestRegressor_v1,mst_v2_20210517.csv
